uwbtime,uwbx,uwby,uwbz
5.91152,1.30852,0.0126819,1.59755
5.92816,1.30837,0.013705,1.59903
5.94477,1.30628,0.0157916,1.60781
5.96155,1.30503,0.0177156,1.60675
5.97825,1.30665,0.0163348,1.61041
5.99466,1.3094,0.0176551,1.61634
6.01127,1.31144,0.0193927,1.62298
6.028,1.31093,0.0214427,1.62197
6.04471,1.31075,0.020687,1.63128
6.06114,1.31411,0.0190532,1.63985
6.07802,1.31457,0.0205787,1.64685
6.09441,1.31717,0.0231363,1.65722
6.11128,1.3124,0.0261764,1.65795
6.12784,1.31228,0.0268702,1.66871
6.14426,1.31603,0.0292467,1.67712
6.16089,1.31844,0.0304489,1.68767
6.17769,1.31669,0.0301994,1.68573
6.19434,1.31608,0.0303412,1.69328
6.21076,1.31193,0.0312077,1.69463
6.22739,1.31137,0.0311011,1.69917
6.24406,1.31285,0.0322793,1.69671
6.26082,1.31141,0.031016,1.70398
6.27727,1.31352,0.0323527,1.70655
6.29387,1.31328,0.0319921,1.70853
6.31079,1.31201,0.0290524,1.70782
6.32733,1.31158,0.0278216,1.71183
6.34404,1.31671,0.0256753,1.71588
6.36037,1.31358,0.0237797,1.71208
6.377,1.31295,0.0196833,1.71673
6.39381,1.30895,0.0173722,1.71834
6.41045,1.30379,0.0186835,1.71227
6.44412,1.30585,0.0161161,1.71547
6.47694,1.30053,0.0136727,1.72119
6.49374,1.30404,0.01814,1.72144
6.51001,1.30533,0.0188763,1.72628
6.52685,1.30641,0.0169483,1.72932
6.54345,1.30966,0.0129232,1.73313
6.56006,1.30802,0.013962,1.73267
6.57648,1.30714,0.012731,1.73349
6.59312,1.30581,0.0118745,1.72966
6.6099,1.30305,0.011808,1.72814
6.62646,1.30142,0.0113724,1.72579
6.64299,1.30107,0.0114407,1.71934
6.65961,1.30382,0.0116872,1.71746
6.67622,1.3073,0.0111755,1.71417
6.69306,1.30471,0.00934665,1.71409
6.7097,1.308,0.00768311,1.71086
6.72611,1.3112,0.0044538,1.71127
6.75948,1.31298,0.00332519,1.70891
6.77625,1.31182,0.000277939,1.70959
6.79259,1.31089,0.00258127,1.7069
6.80988,1.30924,0.00184403,1.70306
6.82619,1.30846,0.00547675,1.69856
6.84265,1.30139,0.0031388,1.69905
6.87571,1.29844,-0.000837134,1.69742
6.89237,1.29696,-0.00296241,1.69813
6.9258,1.29734,-0.00192048,1.69973
6.94224,1.29659,0.00129987,1.70045
6.95884,1.29175,0.00366177,1.70488
6.99229,1.29399,0.0038303,1.70377
7.00872,1.29205,0.00457657,1.70681
7.02535,1.29411,0.00258588,1.70767
7.04196,1.29663,0.00815821,1.71169
7.07521,1.29807,0.00393053,1.70896
7.09183,1.3022,0.00280162,1.70675
7.10846,1.30081,0.00450418,1.70717
7.14183,1.2945,0.00985438,1.70853
7.15833,1.29323,0.0102787,1.70968
7.17514,1.29492,0.0111042,1.71135
7.19164,1.28983,0.0149482,1.71059
7.20835,1.29249,0.0152046,1.7102
7.22485,1.29717,0.0156031,1.70578
7.24144,1.30176,0.0152574,1.70561
7.25807,1.30516,0.0144606,1.70881
7.27489,1.30528,0.0132632,1.7087
7.29151,1.30341,0.0161669,1.70951
7.30794,1.30105,0.0139589,1.70644
7.32456,1.29679,0.0170016,1.70844
7.3413,1.29489,0.0194977,1.71186
7.35802,1.29163,0.0187915,1.71268
7.37446,1.29492,0.0231478,1.71322
7.39107,1.29747,0.0227948,1.7108
7.40779,1.29938,0.0249081,1.70898
7.4245,1.29984,0.0253551,1.70909
7.44093,1.30174,0.026188,1.70498
7.45757,1.30234,0.0272721,1.70463
7.4742,1.29922,0.0266931,1.70653
7.491,1.29769,0.0265603,1.7039
7.50762,1.29961,0.0276005,1.70194
7.52405,1.29815,0.0274067,1.70268
7.54084,1.29865,0.0292267,1.7025
7.55739,1.30062,0.0288779,1.70193
7.57415,1.29864,0.0286919,1.70468
7.59058,1.2981,0.0282523,1.70517
7.60717,1.2935,0.030093,1.70284
7.62382,1.29217,0.0304015,1.69955
7.64061,1.29084,0.0299933,1.69891
7.6572,1.29773,0.02375,1.69351
7.67367,1.29683,0.0246337,1.69305
7.69029,1.29684,0.0224501,1.69197
7.70706,1.29789,0.0170065,1.69603
7.72373,1.30237,0.0167213,1.70002
7.74016,1.30006,0.0134818,1.70051
7.75685,1.30067,0.0149747,1.70067
7.77349,1.29658,0.0137795,1.69743
7.79027,1.29806,0.0131197,1.69232
7.80666,1.29508,0.0128301,1.68889
7.82328,1.29864,0.0187608,1.69237
7.83993,1.29926,0.0176676,1.69025
7.85673,1.30182,0.0146794,1.68666
7.87315,1.30306,0.0175949,1.68226
7.88978,1.30569,0.0190982,1.67842
7.90641,1.30206,0.0188368,1.6781
7.92321,1.30056,0.0188281,1.67896
7.93985,1.29726,0.0157589,1.68
7.95629,1.30069,0.0150151,1.68368
7.97289,1.30224,0.0149195,1.68221
7.98954,1.3076,0.0166155,1.68151
8.00634,1.3069,0.0176217,1.6823
8.02277,1.30751,0.0169038,1.68726
8.0394,1.30759,0.0147975,1.68674
8.0728,1.3069,0.0111361,1.68485
8.08949,1.30539,0.0129542,1.68469
8.10588,1.30652,0.0147809,1.68614
8.12251,1.30463,0.0174874,1.68345
8.13927,1.30789,0.0165287,1.68608
8.17238,1.30426,0.0172771,1.68842
8.20568,1.30427,0.0148828,1.68593
8.22251,1.30042,0.0203927,1.68804
8.2555,1.30152,0.0189815,1.68605
8.27225,1.30617,0.0212039,1.68816
8.28888,1.30996,0.0254084,1.68328
8.3056,1.30416,0.0282162,1.67452
8.32256,1.30117,0.0275738,1.67188
8.33862,1.29625,0.0290065,1.6711
8.35531,1.29739,0.0298682,1.67253
8.37207,1.2985,0.0289661,1.67402
8.40512,1.29587,0.0317784,1.6777
8.42176,1.29687,0.0308273,1.6775
8.43858,1.29659,0.0284583,1.67626
8.45518,1.29813,0.0309842,1.67823
8.47161,1.2986,0.0348558,1.67853
8.48825,1.29608,0.0325399,1.68189
8.50498,1.2937,0.0319093,1.68289
8.52169,1.29062,0.0302241,1.68258
8.53811,1.29256,0.0317854,1.68606
8.55473,1.29145,0.0348359,1.68738
8.57139,1.2913,0.0320151,1.69259
8.58818,1.29128,0.0320199,1.6924
8.60462,1.29157,0.0288868,1.69277
8.62124,1.29101,0.0320122,1.69014
8.63785,1.28858,0.0316608,1.69111
8.65467,1.29124,0.0326874,1.68892
8.6713,1.29088,0.0351438,1.68792
8.68812,1.28729,0.0354258,1.68165
8.70436,1.28397,0.03605,1.67907
8.72108,1.28473,0.0360177,1.67634
8.73778,1.28507,0.0325538,1.67807
8.75422,1.28465,0.0310764,1.67777
8.77086,1.28992,0.0293262,1.67554
8.78764,1.29138,0.0296066,1.6721
8.8043,1.28774,0.0328212,1.66849
8.82092,1.28252,0.0335091,1.67001
8.83734,1.28467,0.0304141,1.67188
8.85396,1.2868,0.0314119,1.67226
8.87074,1.29224,0.0290217,1.67022
8.88742,1.29097,0.0247735,1.67054
8.90384,1.29035,0.0246109,1.67105
8.92046,1.28861,0.0293906,1.67039
8.93712,1.28629,0.0293932,1.6659
8.95389,1.28771,0.0290533,1.66728
8.97035,1.28475,0.0302856,1.66865
9.00359,1.2858,0.0244715,1.6678
9.02038,1.28602,0.0257258,1.66678
9.03703,1.28889,0.0259035,1.66512
9.05362,1.29116,0.0256342,1.66717
9.07011,1.29138,0.0228577,1.66661
9.08681,1.28881,0.0222724,1.66313
9.10351,1.29092,0.0201972,1.6608
9.11997,1.28938,0.0206559,1.6595
9.13657,1.29179,0.0235382,1.65786
9.15321,1.29282,0.0198846,1.65561
9.17007,1.29382,0.016533,1.65519
9.18644,1.29762,0.0156479,1.65403
9.20308,1.29725,0.0128019,1.64999
9.2365,1.29999,0.0134658,1.65219
9.25316,1.30086,0.0098899,1.65025
9.26957,1.29847,0.0132923,1.65094
9.28619,1.29882,0.0146428,1.64972
9.30294,1.29779,0.0134465,1.65068
9.31959,1.29484,0.0109564,1.65094
9.33606,1.29174,0.00909405,1.64979
9.35269,1.29332,0.00826818,1.6462
9.36931,1.29339,0.00495985,1.64428
9.38613,1.29796,0.00353457,1.64226
9.40277,1.29646,0.00218162,1.64084
9.41918,1.29297,0.00329758,1.64155
9.43581,1.2931,0.00728731,1.64193
9.45256,1.29841,0.00654462,1.6416
9.46928,1.29526,0.00621022,1.64116
9.48567,1.29644,0.00681038,1.64171
9.5023,1.29465,0.00737504,1.63857
9.53575,1.29264,0.0104991,1.63519
9.56879,1.29237,0.0147769,1.62914
9.58542,1.28779,0.0186882,1.62453
9.60222,1.28541,0.0215871,1.62572
9.61886,1.28596,0.0211779,1.62385
9.6353,1.28598,0.0265006,1.62039
9.65195,1.28479,0.0284507,1.62163
9.66862,1.28091,0.0383437,1.62164
9.68537,1.28347,0.0431042,1.62135
9.70178,1.27756,0.0470747,1.62002
9.71842,1.272,0.0486609,1.61956
9.73507,1.27045,0.0517589,1.61515
9.76828,1.26227,0.057875,1.61186
9.78491,1.25824,0.0640136,1.6114
9.80154,1.25703,0.0683695,1.60394
9.81839,1.25633,0.074106,1.6038
9.835,1.25628,0.0768852,1.6032
9.8514,1.25319,0.0814764,1.60223
9.86802,1.25745,0.0877457,1.59889
9.88492,1.25941,0.0987916,1.59931
9.90148,1.25885,0.10408,1.59843
9.91791,1.25598,0.10923,1.60085
9.93457,1.2532,0.114506,1.60103
9.95114,1.24461,0.122901,1.59859
9.96796,1.24618,0.130266,1.60196
9.98439,1.24313,0.134834,1.60155
10.001,1.24355,0.138986,1.6008
10.0176,1.24083,0.149772,1.59655
10.0344,1.24392,0.155544,1.5963
10.0511,1.2443,0.158826,1.59909
10.0675,1.24433,0.164061,1.60124
10.0842,1.24411,0.17102,1.60343
10.1008,1.24302,0.181791,1.60665
10.1176,1.24112,0.191575,1.60818
10.134,1.24106,0.199709,1.60859
10.1506,1.23843,0.209339,1.60836
10.1673,1.23725,0.217604,1.60809
10.1841,1.2379,0.227738,1.60613
10.2008,1.23737,0.232433,1.60486
10.2171,1.23193,0.238026,1.60521
10.2338,1.23887,0.247492,1.60819
10.2506,1.23887,0.258663,1.60846
10.2672,1.23806,0.266902,1.61114
10.2836,1.23779,0.278544,1.61371
10.3003,1.2415,0.28454,1.61555
10.3169,1.24224,0.291038,1.62091
10.3337,1.23988,0.298783,1.62323
10.3503,1.23669,0.306511,1.62295
10.3667,1.23804,0.314276,1.62227
10.3834,1.23561,0.32236,1.62483
10.4001,1.22805,0.330267,1.62658
10.4168,1.22566,0.332187,1.63101
10.4332,1.22528,0.342347,1.63326
10.4499,1.22349,0.350013,1.63149
10.4665,1.22379,0.356802,1.63052
10.4833,1.22161,0.363997,1.62828
10.4997,1.22176,0.372178,1.62586
10.5164,1.21724,0.383864,1.62177
10.5498,1.21408,0.393225,1.61988
10.5665,1.21019,0.399403,1.61877
10.5829,1.20859,0.405767,1.6187
10.5995,1.20432,0.415751,1.61961
10.6162,1.20457,0.421937,1.61815
10.6329,1.19821,0.42809,1.61819
10.6494,1.19883,0.430644,1.61704
10.6494,1.19647,0.439873,1.61574
10.6826,1.19647,0.439873,1.61574
10.6994,1.19647,0.439873,1.61574
10.7158,1.19647,0.439873,1.61574
10.7325,1.19647,0.439873,1.61574
10.7491,1.19647,0.439873,1.61574
10.7662,1.19647,0.439873,1.61574
10.7826,1.19647,0.439873,1.61574
10.8158,1.19647,0.439873,1.61574
10.8326,1.19647,0.439873,1.61574
10.849,1.19647,0.439873,1.61574
10.8655,1.19647,0.439873,1.61574
10.8822,1.19647,0.439873,1.61574
10.899,1.19647,0.439873,1.61574
10.9155,1.19647,0.439873,1.61574
10.9324,1.19647,0.439873,1.61574
10.9486,1.19647,0.439873,1.61574
10.9652,1.19647,0.439873,1.61574
10.982,1.19647,0.439873,1.61574
10.9986,1.19647,0.439873,1.61574
11.0151,1.19647,0.439873,1.61574
11.0317,1.19647,0.439873,1.61574
11.0484,1.19647,0.439873,1.61574
11.0651,1.19647,0.439873,1.61574
11.0816,1.19647,0.439873,1.61574
11.0982,1.19647,0.439873,1.61574
11.1148,1.19647,0.439873,1.61574
11.1316,1.19647,0.439873,1.61574
11.1483,1.19647,0.439873,1.61574
11.1647,1.19647,0.439873,1.61574
11.1813,1.19647,0.439873,1.61574
11.1981,1.11035,0.572742,1.62021
11.2148,1.09232,0.611891,1.62144
11.2312,1.0856,0.625508,1.61649
11.2478,1.07746,0.638327,1.6183
11.2644,1.07513,0.64182,1.6218
11.2813,1.06662,0.649722,1.62265
11.2977,1.06215,0.654893,1.62547
11.3143,1.05982,0.66297,1.62456
11.3309,1.05624,0.66826,1.62756
11.3478,1.04851,0.673802,1.63016
11.3643,1.0467,0.679015,1.62959
11.3808,1.03898,0.685487,1.62516
11.3977,1.03497,0.692899,1.62172
11.4141,1.03056,0.698255,1.61735
11.4309,1.0283,0.703245,1.61384
11.4473,1.02507,0.707152,1.61369
11.4639,1.02068,0.7164,1.60921
11.4806,1.01602,0.719045,1.60766
11.4974,1.01404,0.722242,1.60716
11.514,1.00801,0.723976,1.60461
11.5304,1.00339,0.733447,1.60083
11.5471,0.997475,0.736083,1.59863
11.5638,0.994378,0.738256,1.59847
11.5805,0.990149,0.734787,1.5981
11.5969,0.985957,0.742342,1.59765
11.6135,0.984148,0.747254,1.60202
11.647,0.976417,0.758034,1.60233
11.68,0.964432,0.768256,1.59891
11.6967,0.963335,0.764009,1.59331
11.7134,0.961229,0.769252,1.59134
11.7301,0.961114,0.771665,1.59102
11.7465,0.9539,0.781752,1.59545
11.7632,0.954067,0.78647,1.60282
11.7798,0.950612,0.789425,1.60833
11.7966,0.946657,0.792988,1.61171
11.813,0.943941,0.795383,1.60835
11.8296,0.944551,0.80139,1.60663
11.8463,0.936619,0.806526,1.60459
11.8634,0.933376,0.810051,1.60521
11.8796,0.929452,0.81907,1.60349
11.8962,0.927374,0.826096,1.60165
11.9128,0.920109,0.830694,1.60196
11.9295,0.920046,0.838029,1.6033
11.9462,0.911141,0.84176,1.60406
11.9626,0.906569,0.848633,1.60555
11.9959,0.895927,0.854004,1.60939
12.0127,0.894268,0.858568,1.6078
12.0291,0.894137,0.861835,1.6098
12.0458,0.890252,0.870161,1.61257
12.0624,0.886222,0.879341,1.61447
12.0792,0.884923,0.887157,1.62087
12.0959,0.881576,0.887203,1.62215
12.1122,0.875242,0.895988,1.62287
12.1289,0.872398,0.899575,1.62003
12.1457,0.870971,0.904523,1.61956
12.1623,0.86622,0.909241,1.61952
12.1787,0.859908,0.913395,1.61902
12.1954,0.854927,0.916906,1.61455
12.212,0.847256,0.917055,1.614
12.229,0.844274,0.923732,1.61723
12.2455,0.838801,0.930552,1.61751
12.2619,0.836132,0.932934,1.6177
12.2785,0.830731,0.940054,1.61608
12.2953,0.826849,0.947065,1.6141
12.312,0.822269,0.954331,1.61547
12.3284,0.823084,0.957379,1.6158
12.345,0.819722,0.96285,1.61711
12.3617,0.811167,0.964628,1.61835
12.3784,0.80814,0.970274,1.61771
12.3949,0.802501,0.975187,1.61694
12.4115,0.797302,0.977006,1.61689
12.4285,0.791927,0.980932,1.61633
12.4453,0.785538,0.985664,1.61604
12.4616,0.779502,0.992904,1.61961
12.478,0.776765,0.990302,1.61918
12.4947,0.772514,0.991605,1.6157
12.5114,0.770767,0.996128,1.61214
12.5281,0.767425,0.999343,1.61413
12.5445,0.756787,1.00664,1.61416
12.5612,0.746999,1.01018,1.61383
12.5781,0.740769,1.0111,1.61187
12.5949,0.736633,1.01197,1.60775
12.611,0.731553,1.01411,1.60673
12.6277,0.726359,1.01771,1.60246
12.6445,0.720706,1.02074,1.60216
12.6611,0.711383,1.02558,1.60126
12.6777,0.708466,1.02489,1.59998
12.6941,0.703079,1.03332,1.59761
12.7109,0.698458,1.0375,1.60356
12.7277,0.695621,1.04213,1.60782
12.7442,0.688442,1.05148,1.60798
12.7606,0.685446,1.05339,1.61019
12.7773,0.679506,1.05982,1.61115
12.7942,0.675227,1.06246,1.61379
12.8271,0.666955,1.06918,1.61692
12.8437,0.66201,1.07142,1.61462
12.8606,0.653627,1.07402,1.61192
12.8774,0.643202,1.0751,1.61034
12.8938,0.639619,1.07905,1.6112
12.9102,0.637229,1.08329,1.61203
12.927,0.631038,1.08732,1.61422
12.9435,0.631544,1.09197,1.61801
12.9603,0.626507,1.09892,1.61955
12.9767,0.620273,1.10374,1.61647
