uwbtime,uwbx,uwby,uwbz
4.31563,1.27056,0.0153627,0.930671
4.33225,1.27144,0.0180932,0.945504
4.34886,1.27259,0.0178745,0.953872
4.36569,1.27241,0.0175311,0.958513
4.38241,1.2724,0.0159893,0.971783
4.39876,1.27044,0.0167492,0.983497
4.41559,1.27678,0.0187424,0.987905
4.4488,1.27744,0.0153994,1.01616
4.46524,1.28126,0.0179003,1.01988
4.49858,1.28055,0.0212286,1.04153
4.51533,1.2864,0.0234841,1.04965
4.53172,1.28131,0.0231785,1.05569
4.54846,1.28252,0.0220063,1.06726
4.5653,1.28527,0.0192994,1.08839
4.5818,1.28203,0.0215947,1.09512
4.59845,1.2834,0.019762,1.10946
4.61486,1.28055,0.0187445,1.1144
4.63147,1.28041,0.0198004,1.11591
4.64852,1.281,0.0215729,1.1248
4.66491,1.28425,0.0197857,1.13074
4.68137,1.28401,0.0214534,1.14155
4.69798,1.28651,0.019192,1.15254
4.71493,1.28654,0.0168835,1.16214
4.73143,1.28663,0.0167056,1.176
4.74784,1.28376,0.0173669,1.18862
4.76449,1.28669,0.0184767,1.20441
4.78112,1.28659,0.017929,1.21678
4.79787,1.28541,0.0118632,1.22806
4.81455,1.28474,0.0133179,1.23855
4.83096,1.28311,0.0136151,1.24912
4.84759,1.28178,0.0180291,1.25623
4.86463,1.27835,0.0195107,1.25846
4.881,1.27832,0.0199373,1.26352
4.89746,1.28095,0.0192115,1.27608
4.91418,1.27902,0.0210524,1.28111
4.93071,1.27921,0.0177969,1.28412
4.94756,1.2814,0.0133987,1.2901
4.96397,1.28138,0.0112697,1.29317
4.98062,1.28076,0.0107555,1.30034
4.9972,1.28417,0.0112294,1.30527
5.014,1.2843,0.011998,1.30478
5.03074,1.29051,0.0109719,1.31414
5.04708,1.29246,0.00791093,1.32398
5.06372,1.29239,0.00538179,1.32944
5.08049,1.29169,0.00791404,1.33423
5.09716,1.29278,0.00637799,1.34279
5.11357,1.29633,0.0050967,1.35372
5.1302,1.2919,0.00663629,1.35837
5.14683,1.29367,0.00603416,1.36913
5.16397,1.29339,0.006911,1.37503
5.18034,1.29228,0.00969962,1.38427
5.19669,1.29365,0.00819327,1.39186
5.21351,1.29391,0.00848959,1.39346
5.23036,1.29009,0.00971382,1.40202
5.24678,1.28728,0.010539,1.41069
5.26319,1.28387,0.0149295,1.41429
5.29683,1.27681,0.0150065,1.43328
5.32968,1.27184,0.0186237,1.44504
5.34633,1.27779,0.0198619,1.44912
5.36293,1.27646,0.0211615,1.45623
5.38005,1.2742,0.0223721,1.46248
5.39669,1.27585,0.0182906,1.47132
5.4128,1.2761,0.0187296,1.47579
5.42945,1.27346,0.0200516,1.47974
5.44614,1.27525,0.0171284,1.48544
5.4629,1.27951,0.0155768,1.4914
5.4793,1.27851,0.0159288,1.49821
5.49592,1.27941,0.0134601,1.50526
5.51258,1.2815,0.0101124,1.51433
5.52938,1.28543,0.00553142,1.51681
5.54602,1.29287,0.00264563,1.5276
5.56242,1.29166,0.00152481,1.52733
5.57904,1.29291,0.000521179,1.52619
5.59586,1.28981,0.000314363,1.5284
5.6125,1.29285,0.000173087,1.53914
5.62891,1.29095,0.000974394,1.5462
5.64554,1.29339,-3.08134e-05,1.55367
5.66253,1.29414,-0.00235826,1.5684
5.67899,1.29477,-0.00261126,1.57079
5.69546,1.29657,-0.00257385,1.57195
5.71206,1.29844,0.000811678,1.57828
5.72866,1.29677,0.0059633,1.58282
5.77853,1.29794,0.0131594,1.60517
5.79517,1.29725,0.0146225,1.59887
5.81196,1.29846,0.0152231,1.60155
5.82861,1.29975,0.0150135,1.60708
5.84503,1.30253,0.0185089,1.61186
5.8618,1.30919,0.0207129,1.6222
5.89511,1.31016,0.0262942,1.63379
